Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Uncoating of the Influenza Virion	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
Signaling by TGF-beta Receptor Complex in Cancer	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444	SMAD3	Reactome_Pathways_2024
Release	1/8	0.0071785287204102	0.0596715199884098	0	0	167.857142857143	828.65378226444		Reactome_Pathways_2024
Entry of Influenza Virion Into Host Cell via Endocytosis	1/10	0.00896555009334736	0.0627588506534315	0	0	130.542483660131	615.425022203049		Reactome_Pathways_2024
Calcitonin-like Ligand Receptors	1/10	0.00896555009334736	0.0627588506534315	0	0	130.542483660131	615.425022203049	RAMP3	Reactome_Pathways_2024
Virus Assembly and Release	1/10	0.00896555009334736	0.0627588506534315	0	0	130.542483660131	615.425022203049		Reactome_Pathways_2024
NF-kB Activation Through FADD RIP-1 Pathway Mediated by Caspase-8 and -10	1/13	0.0116403892865311	0.0774085887554315	0	0	97.8921568627451	435.940635469407	TRIM4	Reactome_Pathways_2024
Formation of Axial Mesoderm	1/14	0.0125304865571367	0.0792252050911972	0	0	90.3574660633484	395.728716189981	SMAD3	Reactome_Pathways_2024
Pentose Phosphate Pathway	1/15	0.0134198269051201	0.0792252050911972	0	0	83.8991596638656	361.691126934933	TKT	Reactome_Pathways_2024
FOXO-mediated Transcription of Cell Cycle Genes	1/17	0.0151962391911868	0.0792252050911972	0	0	73.4044117647059	307.322786835323	SMAD3	Reactome_Pathways_2024
Signaling by Activin	1/17	0.0151962391911868	0.0792252050911972	0	0	73.4044117647059	307.322786835323	SMAD3	Reactome_Pathways_2024
Germ Layer Formation at Gastrulation	1/17	0.0151962391911868	0.0792252050911972	0	0	73.4044117647059	307.322786835323	SMAD3	Reactome_Pathways_2024
TRAF3-dependent IRF Activation Pathway	1/18	0.0160833123117468	0.0792252050911972	0	0	69.083044982699	285.311113776863	TRIM4	Reactome_Pathways_2024
Formation of Definitive Endoderm	1/18	0.0160833123117468	0.0792252050911972	0	0	69.083044982699	285.311113776863	SMAD3	Reactome_Pathways_2024
SARS-CoV-1 Targets Host Intracellular Signalling and Regulatory Pathways	1/19	0.01696963087688	0.0806057466651801	0	0	65.2418300653595	265.947225984943	SMAD3	Reactome_Pathways_2024
NOTCH4 Intracellular Domain Regulates Transcription	1/20	0.0178551954764704	0.0818876206334678	0	0	61.8049535603715	248.793414712821	SMAD3	Reactome_Pathways_2024
Interleukin-37 Signaling	1/21	0.0187400067082949	0.0830806964067742	0	0	58.7117647058824	233.502244963605	SMAD3	Reactome_Pathways_2024
Signaling by NODAL	1/23	0.0205073714570784	0.0879832388319814	0	0	53.3689839572193	207.443686227371	SMAD3	Reactome_Pathways_2024
TRAF6 Mediated NF-kB Activation	1/25	0.0222717298790695	0.0925668773098824	0	0	48.9166666666667	186.100382608801	TRIM4	Reactome_Pathways_2024
Downregulation of TGF-beta Receptor Signaling	1/26	0.0231527832149217	0.0927097954438846	0	0	46.9576470588235	176.825607237972	SMAD3	Reactome_Pathways_2024
Deubiquitination	2/268	0.0237635645738819	0.0927097954438846	0	0	9.26503759398496	34.6475510002855	SMAD3;TRIM4	Reactome_Pathways_2024
TGFBR3 Expression	1/28	0.0249126411012733	0.0927097954438846	0	0	43.4749455337691	160.52601632868	SMAD3	Reactome_Pathways_2024
TRAF6 Mediated IRF7 Activation	1/29	0.02579144685281	0.0927097954438846	0	0	41.9201680672269	153.331916845589	TRIM4	Reactome_Pathways_2024
Downstream Signal Transduction	1/29	0.02579144685281	0.0927097954438846	0	0	41.9201680672269	153.331916845589	PDGFB	Reactome_Pathways_2024
FOXO-mediated Transcription of Oxidative Stress, Metabolic and Neuronal Genes	1/31	0.0275468149406695	0.0939417022335652	0	0	39.121568627451	140.519524554554	SMAD3	Reactome_Pathways_2024
Downregulation of SMAD2 3 SMAD4 Transcriptional Activity	1/31	0.0275468149406695	0.0939417022335652	0	0	39.121568627451	140.519524554554	SMAD3	Reactome_Pathways_2024
Regulation of Expression and Function of Type II Classical Cadherins	1/33	0.0292991957903236	0.0950437326856838	0	0	36.6727941176471	129.46212215949	ZC3H12A	Reactome_Pathways_2024
Regulation of Homotypic Cell-Cell Adhesion	1/33	0.0292991957903236	0.0950437326856838	0	0	36.6727941176471	129.46212215949	ZC3H12A	Reactome_Pathways_2024
Negative Regulators of DDX58 IFIH1 Signaling	1/35	0.0310485941558708	0.0983205481602577	0	0	34.5121107266436	119.833011206414	TRIM4	Reactome_Pathways_2024
SMAD2 SMAD3 SMAD4 Heterotrimer Regulates Transcription	1/36	0.0319221763964905	0.0987360339705404	0	0	33.5243697478992	115.473160400466	SMAD3	Reactome_Pathways_2024
Positive Regulation of miRNA Metabolic Process (GO:2000630)	4/53	1.30788878341023e-07	4.27679632175145e-05	0	0	116.227405247813	1842.16734655666	SMAD3;ZC3H12A;PDGFB;GNL3	GO_Biological_Process_2025
Positive Regulation of miRNA Transcription (GO:1902895)	3/47	9.6817012839485e-06	0.00158295815992558	0	0	90.6272727272727	1046.31659759941	SMAD3;PDGFB;GNL3	GO_Biological_Process_2025
Regulation of Reactive Oxygen Species Metabolic Process (GO:2000377)	3/61	2.1320541846544e-05	0.00220988185790445	0	0	68.7034482758621	738.963265778008	ZC3H12A;PDGFB;BCO2	GO_Biological_Process_2025
Regulation of miRNA Transcription (GO:1902893)	3/66	2.70321939804825e-05	0.00220988185790445	0	0	63.2349206349206	665.135376532599	SMAD3;PDGFB;GNL3	GO_Biological_Process_2025
Negative Regulation of miRNA Transcription (GO:1902894)	2/25	0.000226705510857655	0.0123775612134574	0	0	108.472826086957	910.288628412586	SMAD3;PDGFB	GO_Biological_Process_2025
Positive Regulation of Macromolecule Biosynthetic Process (GO:0010557)	4/355	0.000245241205710792	0.0123775612134574	0	0	15.97964997965	132.843117918612	RAMP3;SMAD3;ZC3H12A;PDGFB	GO_Biological_Process_2025
Negative Regulation of miRNA Metabolic Process (GO:2000629)	2/27	0.000264963084080127	0.0123775612134574	0	0	99.785	821.821281893882	SMAD3;PDGFB	GO_Biological_Process_2025
Positive Regulation of Protein Import Into Nucleus (GO:0042307)	2/29	0.000306155240604292	0.0125140954597004	0	0	92.3842592592593	747.51968253052	SMAD3;ZC3H12A	GO_Biological_Process_2025
Positive Regulation of Gene Expression (GO:0010628)	4/436	0.000534757421265859	0.0194295196393262	0	0	12.9298941798942	97.4099092872494	RAMP3;SMAD3;ZC3H12A;PDGFB	GO_Biological_Process_2025
Regulation of Protein Import Into Nucleus (GO:0042306)	2/41	0.000614403762247487	0.0194548686153411	0	0	63.9198717948718	472.678391453826	SMAD3;ZC3H12A	GO_Biological_Process_2025
Regulation of Nitric Oxide Biosynthetic Process (GO:0045428)	2/45	0.000740201623342803	0.0194548686153411	0	0	57.9622093023256	417.825683236565	SMAD3;ZC3H12A	GO_Biological_Process_2025
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558)	3/202	0.000740606495397222	0.0194548686153411	0	0	19.8824120603015	143.313243676958	SMAD3;ZC3H12A;PDGFB	GO_Biological_Process_2025
